emotion,num_images,average_best_improvement,max_best_improvement,min_best_improvement
happy,100,0.003123448938131332,0.011451676487922668,0.0
lonely,100,0.011848530769348144,0.030689895153045654,0.0
scary,100,0.009155424535274506,0.02354772388935089,0.0
peaceful,100,0.0034542229771614076,0.011498034000396729,0.0
romantic,100,0.004203902035951615,0.013556703925132751,0.0
hopeful,100,0.0022397680580616,0.010013222694396973,0.0
